Rank,Ticker,Company,Sector,Price,Market_Cap,PE,Revenue_Growth_Pct,Operating_Margin_Pct,DCF_Fair_Value,Comps_Fair_Value,Target_Price,Upside_Pct,Rating,Composite_Rating,TA_Signal,Quant_Score,FSA_Rating,Confluence_Pct,Golden_Cross,Financial_Health
1,NVDA,NVIDIA Corporation,Technology,196.675,4763665039360,30.118683,85.2,65.596,,196.8516666666667,196.8516666666667,0.08982670225838874,HOLD,HOLD,BULLISH,0.65,Strong,75.0,False,Strong revenue growth; high operating margins; conservative balance sheet; weak roe; positive fcf generation.
2,AAPL,Apple Inc.,Technology,312.955,4596481130496,37.842197,16.6,32.275,,260.48042744971,271.402437959768,-13.277487830592893,SELL,UNDERWEIGHT,BULLISH,0.55,Weak,50.0,False,Strong revenue growth; high operating margins; weak roe; positive fcf generation.
3,GOOGL,Alphabet Inc.,Communication Services,364.155,4443628109824,27.79809,21.8,36.120999999999995,,315.17833333333334,332.74468583333334,-8.625534227641152,UNDERWEIGHT,HOLD,BULLISH,0.4999999999999999,Strong,75.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
4,MSFT,Microsoft Corporation,Technology,384.875,2859019010048,22.922869,18.3,46.326,,429.785979045,456.05176323599994,18.493475345501764,OVERWEIGHT,HOLD,BEARISH,-0.7000000000000001,Strong,50.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
5,AMZN,"Amazon.com, Inc.",Consumer Cyclical,244.71,2632372453376,31.904825,16.6,13.139999999999999,,248.750253115,248.750253115,1.651037193003968,HOLD,HOLD,BULLISH,-0.2,Stable,50.0,False,Strong revenue growth; healthy margins; strong roe; positive fcf generation.
6,SPCX,Space Exploration Technologies Corp.,Industrials,161.99,2134086647808,,15.4,-41.627997,,178.24666666666667,180.31161933333334,11.310339732905316,HOLD,OVERWEIGHT,NEUTRAL,0.0,Strong,50.0,False,Strong revenue growth; compressed margins.
7,AVGO,Broadcom Inc.,Technology,375.97,1788707471360,62.453487,47.9,48.988,,380.18333333333334,380.18333333333334,1.1206567899921138,HOLD,OVERWEIGHT,BULLISH,0.65,Strong,75.0,False,Strong revenue growth; high operating margins; strong roe; positive fcf generation.
8,TSLA,"Tesla, Inc.",Consumer Cyclical,416.09,1562719027200,378.2636,15.8,4.202999999999999,,401.22999999999996,405.66399999999993,-2.505707899733245,HOLD,HOLD,BULLISH,0.19999999999999998,Strong,75.0,False,Strong revenue growth; compressed margins; conservative balance sheet; weak roe; positive fcf generation.
9,META,"Meta Platforms, Inc.",Communication Services,592.42,1503939526656,21.536531,33.1,40.617,,636.31,636.31,7.408595253367545,HOLD,HOLD,BEARISH,-0.7000000000000001,Strong,50.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
10,MU,"Micron Technology, Inc.",Technology,1006.08,1136632528896,22.77461,3.457,80.370003,,1099.806309142242,1099.806309142242,9.315989696867245,HOLD,OVERWEIGHT,BULLISH,0.65,Stable,75.0,False,Modest revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
11,BRK-B,Berkshire Hathaway Inc.,Financial Services,505.78,1090893512704,15.044022,4.3999999999999995,14.352,,513.0619667891827,516.3340667340506,2.0866911965776724,HOLD,HOLD,NEUTRAL,0.25,Strong,50.0,False,Modest revenue growth; healthy margins; conservative balance sheet; positive fcf generation.
12,LLY,Eli Lilly and Company,Healthcare,1204.24,1073870602240,42.764206,55.50000000000001,49.386,,1241.4634531391234,1237.2493225112987,2.741091685320085,HOLD,HOLD,BULLISH,0.8,Stable,50.0,False,Strong revenue growth; high operating margins; weak roe; positive fcf generation.
13,AMD,"Advanced Micro Devices, Inc.",Technology,559.0,911505752064,186.33333,37.8,14.396,,425.74333333333334,438.1287083333333,-21.62277131782947,SELL,UNDERWEIGHT,BULLISH,0.4999999999999999,Strong,75.0,False,Strong revenue growth; healthy margins; conservative balance sheet; positive fcf generation.
14,JPM,JPMorgan Chase & Co.,Financial Services,336.455,901534908416,16.098326,12.7,43.741,,215.13003875044504,247.52610406283378,-26.431141144333182,SELL,SELL,BULLISH,0.4999999999999999,Stable,50.0,False,Strong revenue growth; high operating margins.
15,WMT,Walmart Inc.,Consumer Defensive,110.08,876025348096,38.760567,7.3,4.2150001999999995,81.9317964320426,86.18631315888832,84.58461274407581,-23.160780574059036,SELL,UNDERWEIGHT,BULLISH,0.45,Stable,50.0,False,Modest revenue growth; compressed margins; strong roe; positive fcf generation.
16,V,Visa Inc.,Financial Services,356.02,677058772992,31.012196,17.1,67.34599999999999,479.08457441312214,349.8490494184,408.87134750352885,14.845050138623916,OVERWEIGHT,OVERWEIGHT,NEUTRAL,-0.30000000000000004,Strong,50.0,False,Strong revenue growth; high operating margins; strong roe; positive fcf generation.
17,XOM,ExxonMobil Holdings Corporation,Energy,136.4,565370748928,22.962961,2.6,6.3549999999999995,136.25568885879963,138.93831072,142.66055511641588,4.589849792093759,HOLD,OVERWEIGHT,BULLISH,0.6499999999999999,Stable,75.0,False,Modest revenue growth; compressed margins; conservative balance sheet; positive fcf generation.
18,AMAT,"Applied Materials, Inc.",Technology,598.79,475414953984,56.436382,11.4,31.896,,668.0329716292933,650.2092373034346,8.587190384514543,HOLD,OVERWEIGHT,BULLISH,0.4999999999999999,Strong,100.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
