Rank,Ticker,Company,Sector,Price,Market_Cap,PE,Revenue_Growth_Pct,Operating_Margin_Pct,DCF_Fair_Value,Comps_Fair_Value,Target_Price,Upside_Pct,Rating,Composite_Rating,TA_Signal,Quant_Score,FSA_Rating,Confluence_Pct,Golden_Cross,Financial_Health
1,NVDA,NVIDIA Corporation,Technology,205.6371,4980736000000,31.491133,85.2,65.596,,202.08236666666667,202.08236666666667,-1.728643971994026,HOLD,HOLD,BULLISH,0.65,Strong,75.0,False,Strong revenue growth; high operating margins; conservative balance sheet; weak roe; positive fcf generation.
2,AAPL,Apple Inc.,Technology,325.565,4781689012224,39.51032,16.6,32.275,,266.53131602510837,276.8752848200867,-14.955451347630522,SELL,UNDERWEIGHT,BULLISH,0.6499999999999999,Weak,50.0,False,Strong revenue growth; high operating margins; weak roe; positive fcf generation.
3,GOOGL,Alphabet Inc.,Communication Services,357.17,4357294653440,27.237223,21.8,36.120999999999995,,317.31,334.740564,-6.279764817873845,UNDERWEIGHT,HOLD,BULLISH,0.4999999999999999,Strong,75.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
4,MSFT,Microsoft Corporation,Technology,398.3112,2958671478784,23.735994,18.3,46.326,,341.87232205000004,341.87232205000004,-14.169543299309673,SELL,UNDERWEIGHT,BEARISH,-0.7000000000000001,Strong,75.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
5,AMZN,"Amazon.com, Inc.",Consumer Cyclical,251.735,2707940966400,30.111843,16.6,13.139999999999999,,276.60780487999995,283.861047904,12.761851909349108,OVERWEIGHT,OVERWEIGHT,BULLISH,-0.2,Stable,75.0,False,Strong revenue growth; healthy margins; strong roe; positive fcf generation.
6,AVGO,Broadcom Inc.,Technology,381.645,1815706730496,63.50166,47.9,48.988,,383.215,383.215,0.4113770650735704,HOLD,OVERWEIGHT,BULLISH,0.65,Strong,75.0,False,Strong revenue growth; high operating margins; strong roe; positive fcf generation.
7,META,"Meta Platforms, Inc.",Communication Services,648.29,1645393346560,23.553596,33.1,40.617,,654.9333333333333,654.9333333333333,1.024747155336847,HOLD,HOLD,BEARISH,-0.04999999999999999,Strong,25.0,False,Strong revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
8,SPCX,Space Exploration Technologies Corp.,Industrials,122.85,1618448875520,,15.4,-41.627997,,156.1966666666667,156.1966666666667,27.1442138108805,HOLD,OVERWEIGHT,NEUTRAL,0.0,Strong,50.0,False,Strong revenue growth; compressed margins.
9,TSLA,"Tesla, Inc.",Consumer Cyclical,372.26,1398105833472,338.41818,15.8,4.202999999999999,,389.6366666666666,396.75241333333327,6.579383584949561,HOLD,HOLD,NEUTRAL,-0.2,Strong,50.0,False,Strong revenue growth; compressed margins; conservative balance sheet; weak roe; positive fcf generation.
10,BRK-B,Berkshire Hathaway Inc.,Financial Services,490.97,1058950479872,14.620905,4.3999999999999995,14.352,,513.0619667891827,516.3340667340506,5.166113353983048,HOLD,HOLD,NEUTRAL,-0.05000000000000002,Strong,50.0,False,Modest revenue growth; healthy margins; conservative balance sheet; positive fcf generation.
11,LLY,Eli Lilly and Company,Healthcare,1166.475,1040194011136,41.39372,55.50000000000001,49.386,,1232.9782425748126,1240.45667405985,6.342328301922473,HOLD,OVERWEIGHT,BULLISH,0.8,Stable,75.0,False,Strong revenue growth; high operating margins; weak roe; positive fcf generation.
12,MU,"Micron Technology, Inc.",Technology,884.245,998660243456,19.991974,3.457,80.370003,,747.5416666666666,1045.30596,18.214517469705793,OVERWEIGHT,OVERWEIGHT,BULLISH,0.65,Stable,75.0,False,Modest revenue growth; high operating margins; conservative balance sheet; strong roe; positive fcf generation.
13,JPM,JPMorgan Chase & Co.,Financial Services,340.73,905728557056,14.604801,30.4,50.394000000000005,,216.9434059757355,254.5700544818016,-25.286868053355562,SELL,SELL,BULLISH,0.4999999999999999,Stable,50.0,False,Strong revenue growth; high operating margins.
14,WMT,Walmart Inc.,Consumer Defensive,113.11,900138336256,39.827465,7.3,4.2150001999999995,81.9317964320426,89.10203639845082,94.23005964943258,-16.691663292871915,SELL,UNDERWEIGHT,BULLISH,0.6499999999999999,Stable,50.0,False,Modest revenue growth; compressed margins; strong roe; positive fcf generation.
15,AMD,"Advanced Micro Devices, Inc.",Technology,513.2901,836987256832,169.96689,37.8,14.396,,415.7467,434.6336275,-15.323980045592167,SELL,UNDERWEIGHT,BULLISH,0.4999999999999999,Strong,75.0,False,Strong revenue growth; healthy margins; conservative balance sheet; positive fcf generation.
16,V,Visa Inc.,Financial Services,362.0901,688602546176,31.568447,17.1,67.34599999999999,479.08457441312214,353.41754786598744,410.8928173049432,13.478058998283359,OVERWEIGHT,OVERWEIGHT,BULLISH,-0.05000000000000002,Strong,75.0,True,Strong revenue growth; high operating margins; strong roe; positive fcf generation.
17,XOM,ExxonMobil Holdings Corporation,Energy,148.655,616167112704,25.026094,2.6,6.3549999999999995,136.25568885879963,143.53166666666667,144.70931626814922,-2.6542556468674317,HOLD,HOLD,BULLISH,0.6499999999999999,Stable,50.0,False,Modest revenue growth; compressed margins; conservative balance sheet; positive fcf generation.
18,MA,Mastercard Incorporated,Financial Services,546.775,483121594368,31.62377,15.8,60.836,497.9312456814391,502.59693554496,521.9174342678077,-4.5462147560134,HOLD,HOLD,BEARISH,-0.30000000000000004,Stable,75.0,False,Strong revenue growth; high operating margins; elevated leverage; weak roe; positive fcf generation.
19,ABBV,AbbVie Inc.,Healthcare,254.06,448871366656,124.539215,12.4,32.156,252.0894156182765,312.5782206866766,286.3207859617871,12.69809728480955,OVERWEIGHT,OVERWEIGHT,BULLISH,0.6499999999999999,Stable,75.0,False,Strong revenue growth; high operating margins; positive fcf generation.
20,CSCO,"Cisco Systems, Inc.",Technology,111.87,440928305152,37.29,12.0,24.992001,,174.26711999999998,165.45914799999997,47.903055332081856,BUY,BUY,BULLISH,0.4999999999999999,Strong,100.0,False,Strong revenue growth; high operating margins; strong roe; positive fcf generation.
